campaign_id,campaign_name,campaign_channel,target_segment,start_date,campaign_spend,campaign_objective,end_date
CA00001,Search Campaign 1,Social,Student,2025-08-20,20062.93,Retention,2025-09-18
CA00002,Display Campaign 2,Email,Small Business,2025-10-10,6387.26,Conversion,2025-10-24
CA00003,Influencer Campaign 3,Influencer,All Customers,2025-11-16,17245.3,Conversion,2025-12-08
CA00004,Social Campaign 4,Loyalty App,Corporate,2025-09-14,7408.88,Winback,2025-10-01
CA00005,Flyer Campaign 5,Social,Student,2025-06-01,5971.73,Conversion,2025-06-04
CA00006,Display Campaign 6,Email,Consumer,2024-02-16,2116.43,Conversion,2024-03-02
CA00007,Display Campaign 7,Loyalty App,Corporate,2024-05-04,7790.83,Winback,2024-05-20
CA00008,Loyalty App Campaign 8,Loyalty App,Consumer,2024-02-29,3195.1,Conversion,2024-03-17
CA00009,Search Campaign 9,Influencer,Student,2025-07-07,4975.09,Retention,2025-08-02
CA00010,Flyer Campaign 10,Social,Corporate,2023-12-08,4915.07,Awareness,2023-12-26
CA00011,Influencer Campaign 11,Social,All Customers,2024-10-15,3163.9,Retention,2024-11-13
CA00012,Search Campaign 12,Flyer,Premium,2025-02-08,6013.81,Retention,2025-03-04
CA00013,Loyalty App Campaign 13,Flyer,Student,2024-06-13,6522.68,Awareness,2024-07-13
CA00014,Loyalty App Campaign 14,Loyalty App,Small Business,2024-09-05,3973.17,Winback,2024-09-26
CA00015,Display Campaign 15,Search,Consumer,2023-09-27,1663.22,Awareness,2023-10-15
CA00016,Search Campaign 16,Email,Consumer,2024-10-02,9250.16,Winback,2024-10-17
CA00017,Email Campaign 17,Display,All Customers,2025-09-09,6501.5,Conversion,2025-09-14
CA00018,Influencer Campaign 18,Loyalty App,Premium,2024-10-14,10027.56,Conversion,2024-11-01
CA00019,Search Campaign 19,Influencer,Premium,2023-11-10,6517.89,Winback,2023-12-02
CA00020,Social Campaign 20,Social,Consumer,2025-01-11,1424.11,Awareness,2025-01-15
CA00021,Flyer Campaign 21,Influencer,Small Business,2025-07-08,4827.0,Conversion,2025-07-18
CA00022,Influencer Campaign 22,Social,Premium,2023-09-06,10335.26,Awareness,2023-09-21
CA00023,Search Campaign 23,Social,All Customers,2024-11-15,12565.29,Awareness,2024-12-30
CA00024,Search Campaign 24,Loyalty App,Premium,2023-04-14,3934.11,Conversion,2023-04-20
CA00025,Influencer Campaign 25,Flyer,Corporate,2024-05-08,14963.15,Conversion,2024-06-09
CA00026,Loyalty App Campaign 26,Email,Corporate,2023-06-18,8549.99,Retention,2023-06-29
CA00027,Display Campaign 27,Email,Small Business,2023-04-23,1888.87,Retention,2023-05-29
CA00028,Search Campaign 28,Flyer,Small Business,2023-11-29,4726.11,Winback,2023-12-21
CA00029,Social Campaign 29,Social,Corporate,2023-11-09,14113.34,Conversion,2023-12-21
CA00030,Influencer Campaign 30,Influencer,Premium,2024-08-25,35716.51,Retention,2024-09-23
CA00031,Loyalty App Campaign 31,Email,Corporate,2025-04-09,5172.66,Winback,2025-05-13
CA00032,Social Campaign 32,Influencer,Student,2024-12-15,9882.45,Conversion,2025-01-28
