order_id,customer_id,store_id,sales_channel,order_datetime,campaign_id,payment_method,fulfillment_type
OR0000001,CU048427,ST0109,In-Store,2024-02-11 09:44:00,UNKNOWN,Debit Card,Same Day
OR0000002,CU025514,ST0077,In-Store,2024-08-25 17:42:00,UNKNOWN,Credit Card,Pickup
OR0000003,CU045099,ST0048,In-Store,2023-05-26 09:12:00,UNKNOWN,Cash,Pickup
OR0000004,CU024552,ST0077,Online,2024-10-22 18:11:00,CA00819,Debit Card,Express
OR0000005,CU010301,ST0075,In-Store,2025-09-08 08:25:00,UNKNOWN,Credit Card,Standard
OR0000006,CU030045,ONLINE,Mobile App,2024-09-25 17:19:00,UNKNOWN,Credit Card,Pickup
OR0000007,CU026193,ST0086,In-Store,2023-11-14 14:14:00,UNKNOWN,Cash,Pickup
OR0000008,CU000488,ST0086,Mobile App,2023-12-26 11:51:00,CA00643,Gift Card,Express
OR0000009,CU016032,ST0116,In-Store,2025-08-12 09:14:00,UNKNOWN,Credit Card,Standard
OR0000010,CU029963,ST0098,In-Store,2024-05-16 17:53:00,CA00579,Debit Card,Standard
OR0000011,CU041765,ST0102,In-Store,2025-01-13 09:15:00,UNKNOWN,Credit Card,Standard
OR0000012,CU008428,ST0070,Mobile App,2024-01-11 08:06:00,UNKNOWN,Credit Card,Standard
OR0000013,CU027074,ST0006,In-Store,2023-12-24 18:46:00,UNKNOWN,Credit Card,Express
OR0000014,CU006258,ST0118,Mobile App,2024-07-10 17:13:00,CA00033,Cash,Express
OR0000015,CU021721,ST0006,In-Store,2023-11-03 21:15:00,UNKNOWN,Gift Card,Standard
OR0000016,CU042369,ST0021,Online,2023-02-24 15:14:00,CA00327,PayPal,Express
OR0000017,CU028365,ST0057,Online,2024-09-16 10:06:00,UNKNOWN,Debit Card,Standard
OR0000018,CU003998,ST0077,In-Store,2024-07-07 12:26:00,UNKNOWN,PayPal,Express
OR0000019,CU039056,ST0032,In-Store,2025-10-22 20:39:00,UNKNOWN,Cash,Standard
OR0000020,CU013206,ST0032,In-Store,2023-08-05 10:26:00,CA00459,Credit Card,Standard
OR0000021,CU042890,ST0087,In-Store,2025-10-11 11:26:00,UNKNOWN,PayPal,Standard
OR0000022,CU009433,ST0104,Online,2023-09-09 09:29:00,UNKNOWN,Gift Card,Pickup
OR0000023,CU026359,ST0043,Marketplace,2025-09-13 12:19:00,UNKNOWN,PayPal,Same Day
OR0000024,CU032582,ST0084,Mobile App,2025-07-26 15:48:00,UNKNOWN,Credit Card,Standard
OR0000025,CU034447,ST0096,In-Store,2025-01-23 12:18:00,UNKNOWN,Credit Card,Standard
OR0000026,CU012031,ST0054,Mobile App,2023-11-18 21:35:00,UNKNOWN,Debit Card,Standard
OR0000027,CU023933,ONLINE,Marketplace,2025-04-06 13:08:00,CA00878,Gift Card,Standard
OR0000028,CU048955,ST0065,Online,2024-12-08 22:19:00,CA00703,Debit Card,Express
OR0000029,CU040674,ST0067,Online,2024-02-09 16:33:00,UNKNOWN,Credit Card,Pickup
OR0000030,CU006702,ST0033,In-Store,2024-05-02 18:30:00,CA00528,Cash,Standard
OR0000031,CU007540,ST0114,Online,2023-06-08 22:10:00,CA00560,Credit Card,Express
OR0000032,CU049276,ST0109,Online,2024-10-17 10:37:00,UNKNOWN,Credit Card,Express
OR0000033,CU026365,ONLINE,Online,2024-07-12 18:52:00,CA00233,PayPal,Standard
OR0000034,CU005559,ST0077,In-Store,2025-10-14 15:48:00,UNKNOWN,Debit Card,Standard
OR0000035,CU021222,ST0031,Online,2023-06-02 20:57:00,UNKNOWN,Credit Card,Standard
OR0000036,CU015651,ST0104,In-Store,2025-02-18 19:12:00,UNKNOWN,Gift Card,Express
OR0000037,CU040903,ST0117,In-Store,2024-10-18 17:20:00,UNKNOWN,Credit Card,Standard
OR0000038,CU033806,ONLINE,Online,2025-05-07 14:30:00,UNKNOWN,Credit Card,Standard
OR0000039,CU024518,ONLINE,Mobile App,2024-08-17 13:42:00,CA00137,Credit Card,Standard
OR0000040,CU002243,ST0021,Mobile App,2025-08-20 13:25:00,UNKNOWN,Credit Card,Standard
OR0000041,CU017128,ST0011,In-Store,2023-05-20 19:07:00,CA00298,PayPal,Express
OR0000042,CU025800,ST0045,In-Store,2025-01-23 08:48:00,CA00225,Gift Card,Express
OR0000043,CU022120,ONLINE,Online,2025-11-02 10:34:00,UNKNOWN,Debit Card,Pickup
OR0000044,CU012188,ST0008,Mobile App,2024-12-23 21:57:00,UNKNOWN,Credit Card,Standard
OR0000045,CU047012,ST0023,In-Store,2025-03-20 15:40:00,CA00831,Cash,Same Day
OR0000046,CU000657,ONLINE,Online,2024-09-20 18:43:00,UNKNOWN,Gift Card,Standard
OR0000047,CU044398,ST0112,Online,2024-09-26 12:59:00,UNKNOWN,Credit Card,Express
OR0000048,CU029766,ST0063,Marketplace,2025-04-17 11:22:00,UNKNOWN,Gift Card,Standard
OR0000049,CU008756,ONLINE,Online,2025-08-29 15:02:00,CA00628,Cash,Standard
OR0000050,CU029791,ST0072,In-Store,2024-06-26 14:53:00,CA00503,Debit Card,Express
OR0000051,CU023587,ONLINE,Mobile App,2023-01-20 13:54:00,UNKNOWN,Cash,Pickup
OR0000052,CU035632,ST0083,In-Store,2023-08-03 22:23:00,CA00898,Credit Card,Standard
OR0000053,CU017307,ST0081,In-Store,2024-07-03 12:53:00,UNKNOWN,Cash,Pickup
OR0000054,CU000131,ONLINE,Online,2025-12-14 09:21:00,UNKNOWN,PayPal,Standard
OR0000055,CU017577,ONLINE,Marketplace,2024-03-05 17:17:00,UNKNOWN,Debit Card,Standard
OR0000056,CU046620,ONLINE,Online,2024-11-17 19:30:00,CA00683,Credit Card,Standard
OR0000057,CU021443,ST0073,Online,2025-05-30 15:22:00,UNKNOWN,Cash,Standard
OR0000058,CU035593,ONLINE,Marketplace,2025-11-16 14:20:00,CA00661,Credit Card,Standard
OR0000059,CU042162,ST0067,Marketplace,2024-12-17 22:05:00,CA00803,Credit Card,Standard
OR0000060,CU032576,ST0038,In-Store,2024-07-04 19:23:00,UNKNOWN,Credit Card,Express
OR0000061,CU014815,ONLINE,Online,2025-06-21 15:18:00,UNKNOWN,Credit Card,Pickup
OR0000062,CU007668,ONLINE,Mobile App,2023-05-04 21:26:00,UNKNOWN,PayPal,Express
OR0000063,CU049762,ST0099,In-Store,2025-03-15 17:36:00,UNKNOWN,Credit Card,Standard
OR0000064,CU043059,ONLINE,Online,2023-08-29 19:06:00,CA00873,Gift Card,Express
OR0000065,CU041905,ONLINE,Online,2025-11-23 18:48:00,UNKNOWN,PayPal,Standard
OR0000066,CU001281,ST0120,Marketplace,2025-07-07 08:14:00,CA00348,Credit Card,Express
OR0000067,CU033910,ST0094,In-Store,2024-01-29 15:01:00,UNKNOWN,Credit Card,Express
OR0000068,CU009139,ST0101,Online,2024-11-24 11:14:00,UNKNOWN,Cash,Express
OR0000069,CU044385,ST0025,In-Store,2025-08-01 15:45:00,CA00174,Credit Card,Standard
OR0000070,CU002653,ONLINE,Mobile App,2024-02-17 10:25:00,UNKNOWN,PayPal,Express
OR0000071,CU006889,ST0032,In-Store,2024-03-28 08:12:00,CA00447,Gift Card,Same Day
OR0000072,CU029705,ST0112,Mobile App,2023-01-28 16:50:00,UNKNOWN,Credit Card,Express
OR0000073,CU004386,ONLINE,Online,2025-12-15 08:29:00,UNKNOWN,Gift Card,Pickup
OR0000074,CU006475,ST0111,In-Store,2025-03-27 17:57:00,CA00474,Credit Card,Standard
OR0000075,CU042894,ONLINE,Mobile App,2025-06-05 11:32:00,UNKNOWN,Credit Card,Express
OR0000076,CU032094,ST0051,Mobile App,2024-02-27 10:53:00,CA00124,Gift Card,Standard
