product_id,product_name,category,subcategory,supplier,unit_cost,list_price,product_tier,product_status
PR00001,Frozen Item 1,Grocery,Frozen,Supplier O,2.89,4.71,B,Active
PR00002,Men Item 2,Apparel,Men,Supplier D,14.3,25.05,A,Active
PR00003,Writing Item 3,Office Supplies,Writing,Supplier A,10.38,16.65,C,Active
PR00004,Women Item 4,Apparel,Women,Supplier B,13.26,19.11,A,Active
PR00005,Laptops Item 5,Technology,Laptops,Supplier M,120.06,313.88,A,Discontinued
PR00006,Labels Item 6,Office Supplies,Labels,Supplier M,8.36,12.93,C,Active
PR00007,Art Item 7,Office Supplies,Art,Supplier A,14.49,37.42,A,Active
PR00008,Decor Item 8,Home,Decor,Supplier P,22.49,46.47,B,Active
PR00009,Smart Home Item 9,Technology,Smart Home,Supplier A,56.26,140.78,B,Active
PR00010,Envelopes Item 10,Office Supplies,Envelopes,Supplier R,7.5,13.28,C,Active
PR00011,Accessories Item 11,Technology,Accessories,Supplier D,337.49,866.81,C,Active
PR00012,Decor Item 12,Home,Decor,Supplier A,59.98,82.74,A,Active
PR00013,Bedding Item 13,Home,Bedding,Supplier N,25.64,37.89,B,Active
PR00014,Desks Item 14,Furniture,Desks,Supplier O,99.03,196.52,C,Active
PR00015,Beverages Item 15,Grocery,Beverages,Supplier A,2.71,5.41,A,Discontinued
PR00016,Bedding Item 16,Home,Bedding,Supplier K,82.12,182.6,A,Active
PR00017,Tablets Item 17,Technology,Tablets,Supplier R,319.09,428.95,B,Discontinued
PR00018,Binders Item 18,Office Supplies,Binders,Supplier R,44.0,113.39,C,Discontinued
PR00019,Women Item 19,Apparel,Women,Supplier D,27.02,54.86,C,Active
PR00020,Art Item 20,Office Supplies,Art,Supplier M,9.22,19.31,B,Active
PR00021,Men Item 21,Apparel,Men,Supplier N,19.57,27.01,B,Active
PR00022,Women Item 22,Apparel,Women,Supplier O,15.11,21.14,B,Active
PR00023,Lighting Item 23,Home,Lighting,Supplier O,22.98,53.05,A,Active
PR00024,Lighting Item 24,Home,Lighting,Supplier I,35.79,46.94,B,Active
PR00025,Chairs Item 25,Furniture,Chairs,Supplier N,128.11,250.31,A,Discontinued
PR00026,Beverages Item 26,Grocery,Beverages,Supplier C,1.4,2.23,A,Active
PR00027,Printers Item 27,Technology,Printers,Supplier F,42.73,85.06,B,Active
PR00028,Frozen Item 28,Grocery,Frozen,Supplier B,5.31,11.17,A,Active
PR00029,Desks Item 29,Furniture,Desks,Supplier K,84.72,189.35,A,Active
PR00030,Accessories Item 30,Technology,Accessories,Supplier R,95.8,180.93,C,Active
PR00031,Lighting Item 31,Home,Lighting,Supplier C,27.83,48.57,C,Active
PR00032,Accessories Item 32,Apparel,Accessories,Supplier L,47.56,89.17,C,Discontinued
PR00033,Desks Item 33,Furniture,Desks,Supplier C,157.03,248.99,A,Active
PR00034,Bedding Item 34,Home,Bedding,Supplier Q,33.62,46.22,C,Active
PR00035,Accessories Item 35,Technology,Accessories,Supplier H,239.39,568.77,A,Active
PR00036,Shelving Item 36,Furniture,Shelving,Supplier L,45.67,112.59,B,Discontinued
PR00037,Frozen Item 37,Grocery,Frozen,Supplier Q,5.95,15.34,C,Discontinued
PR00038,Cleaning Item 38,Home,Cleaning,Supplier Q,15.38,36.49,A,Active
PR00039,Smart Home Item 39,Technology,Smart Home,Supplier J,200.57,390.54,B,Active
PR00040,Decor Item 40,Home,Decor,Supplier O,17.57,28.69,C,Active
PR00041,Pantry Item 41,Grocery,Pantry,Supplier I,9.55,21.53,C,Active
PR00042,Smart Home Item 42,Technology,Smart Home,Supplier K,82.01,207.9,B,Active
PR00043,Printers Item 43,Technology,Printers,Supplier K,143.54,246.24,C,Active
PR00044,Laptops Item 44,Technology,Laptops,Supplier O,310.86,455.96,B,Active
PR00045,Monitors Item 45,Technology,Monitors,Supplier O,341.41,625.37,B,Active
PR00046,Art Item 46,Office Supplies,Art,Supplier C,3.35,4.32,B,Active
PR00047,Smart Home Item 47,Technology,Smart Home,Supplier B,190.76,455.86,C,Active
PR00048,Frozen Item 48,Grocery,Frozen,Supplier C,1.68,2.37,A,Active
PR00049,Accessories Item 49,Apparel,Accessories,Supplier E,21.9,58.06,A,Active
PR00050,Shoes Item 50,Apparel,Shoes,Supplier F,18.58,40.76,C,Active
PR00051,Shelving Item 51,Furniture,Shelving,Supplier A,168.86,439.76,B,Active
PR00052,Laptops Item 52,Technology,Laptops,Supplier I,327.76,751.03,C,Active
PR00053,Lighting Item 53,Home,Lighting,Supplier Q,9.84,24.6,C,Active
PR00054,Laptops Item 54,Technology,Laptops,Supplier C,197.39,267.59,A,Active
PR00055,Frozen Item 55,Grocery,Frozen,Supplier K,2.1,5.09,A,Discontinued
PR00056,Chairs Item 56,Furniture,Chairs,Supplier G,76.55,185.21,B,Active
PR00057,Chairs Item 57,Furniture,Chairs,Supplier O,89.21,216.63,C,Active
PR00058,Tablets Item 58,Technology,Tablets,Supplier O,175.13,261.08,A,Discontinued
PR00059,Accessories Item 59,Apparel,Accessories,Supplier D,17.47,33.4,A,Active
PR00060,Monitors Item 60,Technology,Monitors,Supplier H,157.25,309.17,B,Active
PR00061,Tables Item 61,Furniture,Tables,Supplier L,96.53,190.64,C,Active
PR00062,Tables Item 62,Furniture,Tables,Supplier O,57.29,92.79,C,Active
PR00063,Tablets Item 63,Technology,Tablets,Supplier J,160.35,418.45,C,Active
PR00064,Cleaning Item 64,Home,Cleaning,Supplier L,23.21,30.42,B,Active
PR00065,Storage Item 65,Furniture,Storage,Supplier M,156.27,332.56,B,Active
PR00066,Desks Item 66,Furniture,Desks,Supplier J,81.12,166.23,C,Active
PR00067,Binders Item 67,Office Supplies,Binders,Supplier F,6.96,19.42,A,Active
PR00068,Paper Item 68,Office Supplies,Paper,Supplier H,4.32,7.54,C,Discontinued
PR00069,Men Item 69,Apparel,Men,Supplier L,37.89,73.19,A,Active
PR00070,Paper Item 70,Office Supplies,Paper,Supplier G,8.78,16.51,C,Active
PR00071,Printers Item 71,Technology,Printers,Supplier G,109.76,256.27,C,Active
PR00072,Accessories Item 72,Apparel,Accessories,Supplier I,16.04,24.95,C,Active
PR00073,Beverages Item 73,Grocery,Beverages,Supplier D,2.06,3.48,A,Active
PR00074,Printers Item 74,Technology,Printers,Supplier H,128.57,305.1,C,Active
PR00075,Binders Item 75,Office Supplies,Binders,Supplier F,7.13,10.98,C,Active
PR00076,Binders Item 76,Office Supplies,Binders,Supplier C,8.56,15.84,B,Active
PR00077,Accessories Item 77,Apparel,Accessories,Supplier L,10.89,14.43,B,Active
PR00078,Envelopes Item 78,Office Supplies,Envelopes,Supplier Q,9.54,19.31,C,Active
PR00079,Decor Item 79,Home,Decor,Supplier L,16.18,22.51,C,Discontinued
PR00080,Shoes Item 80,Apparel,Shoes,Supplier B,39.05,68.84,C,Active
PR00081,Men Item 81,Apparel,Men,Supplier L,11.35,16.04,B,Active
PR00082,Pantry Item 82,Grocery,Pantry,Supplier Q,6.5,10.3,B,Discontinued
PR00083,Kitchen Item 83,Home,Kitchen,Supplier E,37.62,51.43,B,Active
PR00084,Decor Item 84,Home,Decor,Supplier N,41.79,87.97,C,Active
PR00085,Accessories Item 85,Technology,Accessories,Supplier J,306.77,562.22,C,Active
PR00086,Printers Item 86,Technology,Printers,Supplier J,68.09,137.36,C,Active
PR00087,Frozen Item 87,Grocery,Frozen,Supplier M,2.26,5.83,B,Discontinued
PR00088,Desks Item 88,Furniture,Desks,Supplier R,55.69,140.32,A,Active
PR00089,Labels Item 89,Office Supplies,Labels,Supplier R,4.13,8.44,A,Active
PR00090,Laptops Item 90,Technology,Laptops,Supplier K,84.12,177.51,B,Active
PR00091,Women Item 91,Apparel,Women,Supplier N,40.99,79.07,A,Active
PR00092,Paper Item 92,Office Supplies,Paper,Supplier L,5.89,15.14,C,Active
PR00093,Smart Home Item 93,Technology,Smart Home,Supplier B,165.84,225.24,A,Active
PR00094,Lighting Item 94,Home,Lighting,Supplier A,19.27,36.66,C,Discontinued
PR00095,Men Item 95,Apparel,Men,Supplier G,9.13,14.16,C,Active
PR00096,Fresh Item 96,Grocery,Fresh,Supplier H,3.3,7.23,A,Discontinued
PR00097,Kitchen Item 97,Home,Kitchen,Supplier N,41.23,62.18,B,Active
PR00098,Laptops Item 98,Technology,Laptops,Supplier F,122.82,240.09,B,Active
PR00099,Bedding Item 99,Home,Bedding,Supplier R,45.24,65.12,B,Active
PR00100,Tables Item 100,Furniture,Tables,Supplier P,185.5,262.82,A,Active
PR00101,Storage Item 101,Furniture,Storage,Supplier E,87.53,148.0,C,Active
PR00102,Writing Item 102,Office Supplies,Writing,Supplier C,11.7,28.75,A,Active
PR00103,Laptops Item 103,Technology,Laptops,Supplier P,137.74,223.6,C,Active
PR00104,Laptops Item 104,Technology,Laptops,Supplier B,178.45,284.58,C,Active
PR00105,Accessories Item 105,Apparel,Accessories,Supplier D,21.74,50.01,A,Discontinued
PR00106,Decor Item 106,Home,Decor,Supplier M,33.42,66.79,C,Active
PR00107,Kitchen Item 107,Home,Kitchen,Supplier N,11.09,14.36,A,Active
PR00108,Accessories Item 108,Technology,Accessories,Supplier A,167.61,385.29,B,Active
PR00109,Fresh Item 109,Grocery,Fresh,Supplier D,4.63,12.17,B,Active
PR00110,Shoes Item 110,Apparel,Shoes,Supplier D,16.73,21.46,C,Active
PR00111,Smart Home Item 111,Technology,Smart Home,Supplier F,72.79,103.61,A,Discontinued
PR00112,Writing Item 112,Office Supplies,Writing,Supplier K,5.49,13.08,C,Active
PR00113,Envelopes Item 113,Office Supplies,Envelopes,Supplier B,5.58,13.38,B,Active
PR00114,Shelving Item 114,Furniture,Shelving,Supplier Q,82.47,206.81,A,Active
PR00115,Accessories Item 115,Apparel,Accessories,Supplier L,12.42,34.35,B,Active
PR00116,Accessories Item 116,Technology,Accessories,Supplier J,323.66,423.0,A,Active
PR00117,Fresh Item 117,Grocery,Fresh,Supplier H,4.91,7.29,A,Active
PR00118,Tablets Item 118,Technology,Tablets,Supplier F,201.39,340.99,B,Active
PR00119,Labels Item 119,Office Supplies,Labels,Supplier M,5.5,11.01,B,Active
PR00120,Frozen Item 120,Grocery,Frozen,Supplier I,17.63,33.59,B,Active
PR00121,Pantry Item 121,Grocery,Pantry,Supplier Q,2.62,5.05,A,Active
