return_id,order_id,order_line_id,return_date,return_reason,refund_amount,resolution
RE0000001,OR0079628,OL000185645,2024-08-21,Quality Issue,48.28,Exchange
RE0000002,OR0099929,OL000233092,2024-03-08,Wrong Item,175.75,Refunded
RE0000003,OR0056493,OL000131930,2024-01-24,Duplicate Order,168.29,Refunded
RE0000004,OR0036777,OL000085593,2024-02-01,Late Delivery,13.09,Exchange
RE0000005,OR0052342,OL000122082,2025-05-08,Damaged,66.26,Refunded
RE0000006,OR0117795,OL000274682,2024-08-28,Duplicate Order,51.16,Refunded
RE0000007,OR0018109,OL000042201,2025-07-11,Price Match,40.3,Refunded
RE0000008,OR0051859,OL000120947,2024-08-17,Duplicate Order,11.41,Refunded
RE0000009,OR0009559,OL000022481,2023-05-03,Wrong Item,134.17,Exchange
RE0000010,OR0058137,OL000135766,2024-10-24,Duplicate Order,10.57,Refunded
RE0000011,OR0127361,OL000296995,2024-02-17,Duplicate Order,3.14,Refunded
RE0000012,OR0082076,OL000191322,2023-09-16,Wrong Item,6.91,Store Credit
RE0000013,OR0108523,OL000253216,2025-06-11,Wrong Item,43.78,Store Credit
RE0000014,OR0088196,OL000205677,2023-08-24,Wrong Item,348.61,Refunded
RE0000015,OR0102886,OL000240021,2025-11-03,Quality Issue,20.9,Store Credit
RE0000016,OR0088845,OL000207177,2026-01-24,Damaged,46.95,Exchange
RE0000017,OR0035015,OL000081557,2026-02-26,Quality Issue,154.73,Refunded
RE0000018,OR0092420,OL000215627,2024-10-01,Quality Issue,244.16,Store Credit
RE0000019,OR0040062,OL000093301,2023-10-01,Duplicate Order,13.94,Exchange
RE0000020,OR0066530,OL000155362,2025-07-04,Wrong Item,32.67,Refunded
RE0000021,OR0053852,OL000125654,2024-01-21,Damaged,31.33,Refunded
RE0000022,OR0053192,OL000124097,2024-06-24,Price Match,2.92,Refunded
RE0000023,OR0093864,OL000219065,2024-03-15,Price Match,13.7,Store Credit
RE0000024,OR0031123,OL000072637,2025-01-26,Late Delivery,123.45,Store Credit
RE0000025,OR0002752,OL000006480,2025-04-11,Price Match,303.07,Refunded
RE0000026,OR0107661,OL000251281,2025-10-05,Late Delivery,199.58,Refunded
RE0000027,OR0126861,OL000295865,2024-05-15,Late Delivery,15.55,Refunded
RE0000028,OR0028270,OL000066017,2025-09-25,Damaged,74.75,Refunded
RE0000029,OR0102309,OL000238587,2023-12-20,Damaged,284.38,Refunded
RE0000030,OR0101539,OL000236788,2025-05-07,Damaged,4.85,Refunded
RE0000031,OR0043523,OL000101341,2024-06-04,Price Match,12.72,Refunded
RE0000032,OR0077275,OL000180245,2025-12-29,Wrong Item,167.4,Refunded
RE0000033,OR0092543,OL000215921,2024-02-03,Damaged,179.77,Refunded
RE0000034,OR0024877,OL000058066,2025-10-25,Late Delivery,201.69,Refunded
RE0000035,OR0006481,OL000015203,2024-04-11,Price Match,61.57,Exchange
RE0000036,OR0088203,OL000205691,2023-09-29,Price Match,20.73,Store Credit
RE0000037,OR0119768,OL000279211,2023-04-27,Price Match,61.77,Refunded
RE0000038,OR0124307,OL000289949,2025-04-11,Damaged,56.28,Refunded
RE0000039,OR0087566,OL000204198,2023-11-22,Price Match,2.39,Exchange
RE0000040,OR0068669,OL000160271,2023-06-06,Quality Issue,2.37,Exchange
RE0000041,OR0056384,OL000131684,2025-07-23,Quality Issue,101.81,Exchange
RE0000042,OR0008617,OL000020267,2023-05-26,Price Match,22.32,Exchange
RE0000043,OR0068353,OL000159543,2023-04-04,Price Match,10.28,Exchange
RE0000044,OR0032787,OL000076418,2024-05-17,Duplicate Order,13.33,Exchange
RE0000045,OR0114650,OL000267497,2026-02-12,Quality Issue,69.12,Store Credit
RE0000046,OR0125898,OL000293617,2023-08-06,Wrong Item,110.57,Refunded
RE0000047,OR0065595,OL000153159,2023-05-07,Price Match,69.56,Exchange
RE0000048,OR0085456,OL000199267,2024-07-13,Price Match,2.71,Store Credit
RE0000049,OR0000288,OL000000697,2023-10-23,Wrong Item,384.62,Refunded
RE0000050,OR0037554,OL000087453,2024-09-23,Damaged,17.8,Exchange
RE0000051,OR0003152,OL000007412,2025-05-28,Price Match,11.27,Refunded
RE0000052,OR0025002,OL000058374,2023-11-12,Changed Mind,151.75,Store Credit
RE0000053,OR0092206,OL000215150,2024-10-25,Damaged,110.42,Refunded
RE0000054,OR0108311,OL000252727,2023-04-29,Price Match,8.45,Refunded
RE0000055,OR0088947,OL000207426,2023-04-21,Damaged,3.19,Refunded
RE0000056,OR0068968,OL000160922,2024-03-18,Quality Issue,93.4,Refunded
RE0000057,OR0020199,OL000047089,2024-08-28,Changed Mind,17.18,Refunded
RE0000058,OR0023107,OL000053819,2024-08-18,Late Delivery,74.3,Refunded
RE0000059,OR0049169,OL000114477,2023-08-07,Changed Mind,334.66,Exchange
RE0000060,OR0104635,OL000244198,2024-04-17,Late Delivery,287.84,Refunded
RE0000061,OR0114955,OL000268199,2025-09-27,Duplicate Order,145.24,Refunded
RE0000062,OR0040637,OL000094669,2025-07-30,Quality Issue,3.6,Store Credit
RE0000063,OR0107259,OL000250297,2023-06-01,Quality Issue,12.0,Exchange
RE0000064,OR0013583,OL000031866,2023-07-26,Price Match,8.34,Store Credit
RE0000065,OR0068687,OL000160308,2025-08-12,Late Delivery,27.63,Store Credit
RE0000066,OR0113173,OL000264040,2023-04-09,Quality Issue,12.17,Refunded
RE0000067,OR0119007,OL000277445,2025-02-27,Price Match,61.62,Exchange
RE0000068,OR0111570,OL000260258,2024-03-11,Wrong Item,13.27,Exchange
RE0000069,OR0020988,OL000048980,2025-02-19,Wrong Item,55.98,Store Credit
RE0000070,OR0089383,OL000208441,2024-11-24,Price Match,613.32,Refunded
RE0000071,OR0068705,OL000160353,2025-11-23,Late Delivery,60.71,Refunded
RE0000072,OR0076909,OL000179423,2025-08-23,Wrong Item,14.96,Refunded
RE0000073,OR0110600,OL000258058,2023-11-27,Duplicate Order,6.75,Refunded
RE0000074,OR0005815,OL000013631,2023-12-12,Damaged,485.93,Refunded
RE0000075,OR0049843,OL000116074,2024-06-09,Quality Issue,16.46,Refunded
RE0000076,OR0002599,OL000006131,2023-06-30,Damaged,15.71,Exchange
RE0000077,OR0023906,OL000055724,2025-06-15,Duplicate Order,3.95,Refunded
