order_line_id,order_id,product_id,quantity,unit_price,discount_pct,gross_sales,net_sales,cost_amount,profit
OL000000001,OR0000001,PR00957,1,62.24,0.1,62.24,56.02,38.21,17.81
OL000000002,OR0000001,PR00968,1,55.47,0.2,55.47,44.38,21.71,22.67
OL000000003,OR0000001,PR01154,1,43.06,0.1,43.06,38.75,17.41,21.34
OL000000004,OR0000001,PR00591,2,10.23,0.0,20.46,20.46,10.54,9.92
OL000000005,OR0000002,PR00795,1,54.69,0.0,54.69,54.69,24.16,30.53
OL000000006,OR0000003,PR01157,2,66.66,0.0,133.32,133.32,51.84,81.48
OL000000007,OR0000003,PR00954,2,108.63,0.0,217.26,217.26,97.56,119.7
OL000000008,OR0000004,PR00642,3,15.43,0.0,46.29,46.29,21.45,24.84
OL000000009,OR0000004,PR01770,1,329.96,0.25,329.96,247.47,187.85,59.62
OL000000010,OR0000004,PR00874,1,208.2,0.15,208.2,176.97,88.86,88.11
OL000000011,OR0000005,PR01720,1,262.82,0.0,262.82,262.82,113.34,149.48
OL000000012,OR0000005,PR00504,5,9.55,0.15,47.75,40.59,18.35,22.24
OL000000013,OR0000005,PR00699,1,4.92,0.15,4.92,4.18,3.57,0.61
OL000000014,OR0000005,PR00095,1,14.16,0.1,14.16,12.74,9.13,3.61
OL000000015,OR0000005,PR01416,2,234.5,0.0,469.0,469.0,205.64,263.36
OL000000016,OR0000006,PR01647,1,62.76,0.05,62.76,59.62,41.87,17.75
OL000000017,OR0000007,PR00201,1,164.05,0.1,164.05,147.65,101.06,46.59
OL000000018,OR0000008,PR00672,2,249.9,0.0,499.8,499.8,276.2,223.6
OL000000019,OR0000008,PR00209,1,8.39,0.15,8.39,7.13,3.67,3.46
OL000000020,OR0000008,PR00333,2,6.27,0.2,12.54,10.03,6.28,3.75
OL000000021,OR0000008,PR01642,2,19.41,0.1,38.82,34.94,16.26,18.68
OL000000022,OR0000009,PR00178,1,351.75,0.15,351.75,298.99,136.56,162.43
OL000000023,OR0000010,PR01083,2,77.37,0.0,154.74,154.74,65.16,89.58
OL000000024,OR0000010,PR00145,2,186.69,0.1,373.38,336.04,181.3,154.74
OL000000025,OR0000010,PR01039,1,125.04,0.1,125.04,112.54,58.78,53.76
OL000000026,OR0000010,PR00246,1,40.75,0.0,40.75,40.75,16.14,24.61
OL000000027,OR0000011,PR01488,3,38.26,0.0,114.78,114.78,88.02,26.76
OL000000028,OR0000011,PR00577,1,11.21,0.0,11.21,11.21,6.61,4.6
OL000000029,OR0000012,PR01484,1,22.96,0.25,22.96,17.22,11.44,5.78
OL000000030,OR0000012,PR00508,2,11.2,0.0,22.4,22.4,8.48,13.92
OL000000031,OR0000012,PR00761,2,320.91,0.0,641.82,641.82,425.0,216.82
OL000000032,OR0000012,PR00724,1,56.55,0.0,56.55,56.55,28.02,28.53
OL000000033,OR0000012,PR01125,1,166.02,0.05,166.02,157.72,64.47,93.25
OL000000034,OR0000013,PR01290,2,17.93,0.0,35.86,35.86,18.74,17.12
OL000000035,OR0000013,PR01194,2,39.78,0.0,79.56,79.56,32.7,46.86
OL000000036,OR0000014,PR00241,5,7.93,0.05,39.65,37.67,25.25,12.42
OL000000037,OR0000014,PR00976,2,6.53,0.0,13.06,13.06,7.44,5.62
OL000000038,OR0000014,PR00678,1,220.92,0.05,220.92,209.87,81.72,128.15
OL000000039,OR0000015,PR00275,1,5.71,0.0,5.71,5.71,4.0,1.71
OL000000040,OR0000016,PR00170,1,370.62,0.15,370.62,315.03,241.66,73.37
OL000000041,OR0000017,PR01621,1,62.17,0.05,62.17,59.06,24.08,34.98
OL000000042,OR0000017,PR00138,1,273.51,0.0,273.51,273.51,100.92,172.59
OL000000043,OR0000017,PR01763,5,29.75,0.15,148.75,126.44,102.6,23.84
OL000000044,OR0000018,PR01133,1,8.66,0.0,8.66,8.66,5.41,3.25
OL000000045,OR0000018,PR00252,8,41.52,0.0,332.16,332.16,232.48,99.68
OL000000046,OR0000019,PR01233,1,12.93,0.0,12.93,12.93,7.2,5.73
OL000000047,OR0000019,PR00413,1,235.87,0.0,235.87,235.87,140.82,95.05
OL000000048,OR0000020,PR01116,5,49.54,0.0,247.7,247.7,117.95,129.75
OL000000049,OR0000020,PR01475,3,280.76,0.0,842.28,842.28,586.17,256.11
OL000000050,OR0000020,PR01706,5,361.03,0.0,1805.15,1805.15,801.75,1003.4
OL000000051,OR0000020,PR00587,1,120.33,0.2,120.33,96.26,70.13,26.13
OL000000052,OR0000021,PR00821,2,3.25,0.0,6.5,6.5,3.76,2.74
OL000000053,OR0000021,PR00217,2,9.3,0.0,18.6,18.6,11.06,7.54
OL000000054,OR0000021,PR00825,1,10.44,0.0,10.44,10.44,8.22,2.22
OL000000055,OR0000022,PR00033,1,248.99,0.25,248.99,186.74,157.03,29.71
OL000000056,OR0000023,PR01078,1,250.02,0.0,250.02,250.02,90.97,159.05
OL000000057,OR0000024,PR01652,1,70.21,0.0,70.21,70.21,28.4,41.81
OL000000058,OR0000025,PR00900,2,12.86,0.0,25.72,25.72,12.38,13.34
OL000000059,OR0000025,PR01369,1,199.34,0.0,199.34,199.34,98.96,100.38
OL000000060,OR0000026,PR00902,1,7.22,0.1,7.22,6.5,5.06,1.44
OL000000061,OR0000027,PR00470,1,315.87,0.3,315.87,221.11,186.09,35.02
OL000000062,OR0000027,PR01416,5,234.5,0.0,1172.5,1172.5,514.1,658.4
OL000000063,OR0000028,PR01378,1,95.93,0.1,95.93,86.34,70.39,15.95
OL000000064,OR0000028,PR01173,2,32.12,0.0,64.24,64.24,26.06,38.18
OL000000065,OR0000028,PR01280,1,10.1,0.15,10.1,8.58,3.64,4.94
OL000000066,OR0000028,PR00373,1,218.78,0.1,218.78,196.9,83.95,112.95
OL000000067,OR0000029,PR00582,3,126.13,0.0,378.39,378.39,247.47,130.92
OL000000068,OR0000029,PR00212,2,85.88,0.0,171.76,171.76,67.68,104.08
OL000000069,OR0000030,PR00790,1,39.11,0.0,39.11,39.11,28.44,10.67
OL000000070,OR0000030,PR00740,2,55.6,0.0,111.2,111.2,41.46,69.74
OL000000071,OR0000030,PR00759,1,264.52,0.0,264.52,264.52,110.53,153.99
OL000000072,OR0000031,PR00164,1,380.66,0.0,380.66,380.66,154.8,225.86
OL000000073,OR0000032,PR00657,1,42.72,0.0,42.72,42.72,21.74,20.98
OL000000074,OR0000032,PR01765,1,80.49,0.1,80.49,72.44,58.01,14.43
OL000000075,OR0000032,PR00998,3,204.8,0.0,614.4,614.4,396.9,217.5
OL000000076,OR0000032,PR00597,1,11.79,0.2,11.79,9.43,5.68,3.75
OL000000077,OR0000032,PR00013,2,37.89,0.0,75.78,75.78,51.28,24.5
OL000000078,OR0000032,PR00859,1,41.08,0.0,41.08,41.08,17.0,24.08
OL000000079,OR0000033,PR01338,3,27.42,0.0,82.26,82.26,40.68,41.58
OL000000080,OR0000033,PR00605,1,182.04,0.0,182.04,182.04,106.84,75.2
OL000000081,OR0000033,PR00952,3,68.09,0.15,204.27,173.63,105.12,68.51
OL000000082,OR0000033,PR01600,4,29.41,0.0,117.64,117.64,74.88,42.76
OL000000083,OR0000033,PR01466,5,10.23,0.0,51.15,51.15,21.5,29.65
OL000000084,OR0000034,PR00966,1,16.67,0.0,16.67,16.67,7.05,9.62
OL000000085,OR0000034,PR01199,2,21.53,0.0,43.06,43.06,16.08,26.98
OL000000086,OR0000034,PR00399,1,23.53,0.1,23.53,21.18,12.16,9.02
