store_id,store_name,region,city,store_size,employees,open_date,latitude,longitude
ST0001,Montreal Store 1,Quebec,Montreal,Large,39,2017-07-03,44.39538,-116.85029
ST0002,Sherbrooke Store 2,Quebec,Sherbrooke,Flagship,12,2015-05-03,43.93695,-109.04035
ST0003,London Store 3,Ontario,London,Medium,77,2019-09-15,45.20441,-87.64406
ST0004,Windsor Store 4,Ontario,Windsor,Medium,62,2018-10-25,45.77871,-110.08117
ST0005,Halifax Store 5,Nova Scotia,Halifax,Small,56,2016-02-01,46.58979,-102.36266
ST0006,Winnipeg Store 6,Manitoba,Winnipeg,Flagship,76,2016-05-26,52.73116,-100.28794
ST0007,Brandon Store 7,Manitoba,Brandon,Medium,16,2015-07-07,49.61263,-76.6159
ST0008,Quebec City Store 8,Quebec,Quebec City,Small,56,2018-02-12,47.5341,-72.95337
ST0009,Burnaby Store 9,British Columbia,Burnaby,Large,34,2022-07-08,45.66978,-66.80072
ST0010,Sherbrooke Store 10,Quebec,Sherbrooke,Medium,76,2023-03-06,45.44811,-95.26439
ST0011,Winnipeg Store 11,Manitoba,Winnipeg,Large,15,2017-07-27,51.21803,-74.69725
ST0012,Regina Store 12,Saskatchewan,Regina,Small,35,2021-05-12,51.76368,-104.11933
ST0013,Fredericton Store 13,New Brunswick,Fredericton,Flagship,26,2017-12-20,44.3963,-78.30066
ST0014,Brandon Store 14,Manitoba,Brandon,Flagship,54,2017-06-17,52.97326,-114.7001
ST0015,Moncton Store 15,New Brunswick,Moncton,Small,22,2016-09-18,49.27446,-75.47524
ST0016,Saskatoon Store 16,Saskatchewan,Saskatoon,Flagship,56,2021-09-06,52.96121,-91.25314
ST0017,Waterloo Store 17,Ontario,Waterloo,Small,76,2023-06-03,45.66825,-84.54229
ST0018,Laval Store 18,Quebec,Laval,Flagship,28,2020-02-02,43.03245,-79.67448
ST0019,Winnipeg Store 19,Manitoba,Winnipeg,Small,88,2018-05-07,51.41669,-92.54023
ST0020,Edmonton Store 20,Alberta,Edmonton,Large,28,2021-01-18,52.535,-67.65396
ST0021,London Store 21,Ontario,London,Large,70,2015-03-21,44.11868,-101.22115
ST0022,Winnipeg Store 22,Manitoba,Winnipeg,Small,38,2021-05-12,52.46949,-117.86079
ST0023,Moncton Store 23,New Brunswick,Moncton,Medium,24,2022-05-26,47.75282,-90.01178
ST0024,Brandon Store 24,Manitoba,Brandon,Medium,77,2023-06-21,50.29931,-110.93094
ST0025,Brandon Store 25,Manitoba,Brandon,Large,64,2020-10-20,47.51486,-108.12566
ST0026,Laval Store 26,Quebec,Laval,Small,83,2021-03-18,45.30115,-109.78696
ST0027,Montreal Store 27,Quebec,Montreal,Medium,16,2015-05-09,51.59635,-118.74856
ST0028,Red Deer Store 28,Alberta,Red Deer,Flagship,35,2021-01-17,44.32312,-66.86915
ST0029,Moncton Store 29,New Brunswick,Moncton,Flagship,60,2017-02-18,43.94326,-83.46104
ST0030,Dartmouth Store 30,Nova Scotia,Dartmouth,Flagship,67,2023-03-06,43.54171,-83.79267
ST0031,Montreal Store 31,Quebec,Montreal,Flagship,51,2023-12-24,51.61673,-108.08062
ST0032,Lethbridge Store 32,Alberta,Lethbridge,Medium,62,2017-01-21,45.78545,-108.01161
ST0033,Gatineau Store 33,Quebec,Gatineau,Small,14,2022-04-25,52.99282,-72.83834
ST0034,Quebec City Store 34,Quebec,Quebec City,Medium,60,2020-06-12,47.81358,-71.12098
ST0035,Ottawa Store 35,Ontario,Ottawa,Flagship,8,2019-05-19,45.65203,-75.95576
ST0036,Fredericton Store 36,New Brunswick,Fredericton,Flagship,79,2022-06-04,50.18408,-113.71219
ST0037,Winnipeg Store 37,Manitoba,Winnipeg,Small,82,2023-04-02,48.42195,-78.12147
ST0038,Toronto Store 38,Ontario,Toronto,Flagship,72,2020-12-15,44.57433,-65.35327
ST0039,Quebec City Store 39,Quebec,Quebec City,Small,84,2015-10-06,49.75213,-108.88777
ST0040,Sherbrooke Store 40,Quebec,Sherbrooke,Medium,82,2021-09-01,43.39742,-118.081
ST0041,Dartmouth Store 41,Nova Scotia,Dartmouth,Medium,48,2017-09-04,45.65615,-115.1473
ST0042,Brandon Store 42,Manitoba,Brandon,Large,17,2015-02-08,47.58286,-63.09273
ST0043,Montreal Store 43,Quebec,Montreal,Medium,72,2017-12-22,44.32457,-102.05947
ST0044,Quebec City Store 44,Quebec,Quebec City,Large,44,2016-10-08,47.38185,-90.40692
ST0045,Winnipeg Store 45,Manitoba,Winnipeg,Large,21,2016-07-04,45.64466,-69.61724
ST0046,Burnaby Store 46,British Columbia,Burnaby,Large,85,2017-05-12,50.17612,-110.78416
ST0047,Brandon Store 47,Manitoba,Brandon,Large,14,2016-01-14,49.34284,-73.23911
ST0048,Toronto Store 48,Ontario,Toronto,Large,24,2022-02-22,52.79798,-113.30508
ST0049,Saint John Store 49,New Brunswick,Saint John,Flagship,79,2015-02-09,44.11874,-66.29694
